month_number,part_of_week,start_station,dest_station,2017,2018,diff_2017_to_2018,diff_pct_2017_to_2018,categorical_from_station,categorical_dest_station,from_station_full,to_station_full
1,weekday,BK,24,235.65,212.23809523809524,-23.411904761904765,0.9006496721328039,BK,24,Berkeley,24th Street Mission
1,weekday,BK,AS,376.75,328.85714285714283,-47.89285714285717,0.8728789458716465,BK,AS,Berkeley,Ashby
1,weekday,BK,BF,132.35,134.1904761904762,1.8404761904762097,1.0139061291309122,BK,BF,Berkeley,Bayfair
1,weekday,BK,BK,40.75,35.61904761904762,-5.13095238095238,0.874087058136138,BK,BK,Berkeley,Berkeley
1,weekday,BK,BP,90.4,86.66666666666669,-3.73333333333332,0.9587020648967554,BK,BP,Berkeley,Balboa Park
1,weekday,BK,CC,563.75,514.3333333333334,-49.41666666666663,0.9123429416112344,BK,CC,Berkeley,Civic Center
1,weekday,BK,CL,141.15,144.61904761904762,3.4690476190476147,1.0245770288278258,BK,CL,Berkeley,Coliseum
1,weekday,BK,CM,36.95,31.66666666666667,-5.283333333333331,0.8570139828597204,BK,CM,Berkeley,Colma
1,weekday,BK,CN,135.6,119.1904761904762,-16.40952380952379,0.8789858126141313,BK,CN,Berkeley,Concord
1,weekday,BK,CV,42.2,45.61904761904761,3.4190476190476105,1.081020085759422,BK,CV,Berkeley,Castro Valley
1,weekday,BK,DC,101.75,95.0,-6.75,0.9336609336609336,BK,DC,Berkeley,Daly City
1,weekday,BK,ED,109.8,114.14285714285714,4.342857142857142,1.0395524329950558,BK,ED,Berkeley,Dublin/Pleasanton
1,weekday,BK,EM,1082.1,1007.6190476190477,-74.4809523809522,0.9311699913307899,BK,EM,Berkeley,Embarcadero
1,weekday,BK,EN,898.15,825.8571428571429,-72.29285714285709,0.9195091497602215,BK,EN,Berkeley,El Cerrito Del Norte
1,weekday,BK,EP,689.25,659.1904761904761,-30.059523809523853,0.9563880684664144,BK,EP,Berkeley,El Cerrito Plaza
1,weekday,BK,FM,265.2,189.3809523809524,-75.81904761904758,0.714106155282626,BK,FM,Berkeley,Fremont
1,weekday,BK,FV,290.35,260.4761904761905,-29.87380952380954,0.8971110400419854,BK,FV,Berkeley,Fruitvale
1,weekday,BK,GP,111.55,112.33333333333331,0.7833333333333172,1.0070222620648437,BK,GP,Berkeley,Glen Park
1,weekday,BK,HY,146.0,121.4761904761905,-24.523809523809504,0.8320287018917157,BK,HY,Berkeley,Hayward
1,weekday,BK,LF,77.5,64.80952380952381,-12.69047619047619,0.8362519201228878,BK,LF,Berkeley,Lafayette
1,weekday,BK,LM,218.55,212.66666666666663,-5.883333333333383,0.9730801494699914,BK,LM,Berkeley,Lake Merritt
1,weekday,BK,MA,392.55,351.28571428571433,-41.26428571428568,0.8948814527721675,BK,MA,Berkeley,MacArthur
1,weekday,BK,MB,143.25,132.04761904761904,-11.202380952380963,0.9217983877669741,BK,MB,Berkeley,Millbrae
1,weekday,BK,MT,866.9,817.9047619047618,-48.995238095238165,0.9434822492845332,BK,MT,Berkeley,Montgomery Street
1,weekday,BK,NB,216.15,199.6190476190476,-16.530952380952414,0.9235209235209234,BK,NB,Berkeley,North Berkeley
1,weekday,BK,NC,46.7,42.904761904761905,-3.7952380952380977,0.9187315183032527,BK,NC,Berkeley,North Concord
1,weekday,BK,OA,47.3,43.0,-4.299999999999997,0.9090909090909092,BK,OA,Berkeley,Oakland International Airport
1,weekday,BK,OR,50.95,49.047619047619044,-1.902380952380959,0.9626618066264777,BK,OR,Berkeley,Orinda
1,weekday,BK,OW,71.3,66.0952380952381,-5.204761904761895,0.9270019368196087,BK,OW,Berkeley,West Oakland
1,weekday,BK,PH,170.3,156.85714285714286,-13.44285714285715,0.9210636691552722,BK,PH,Berkeley,Pleasant Hill
1,weekday,BK,PL,603.6,557.2380952380952,-46.36190476190484,0.9231910126542332,BK,PL,Berkeley,Powell Street
1,weekday,BK,RM,415.2,365.61904761904765,-49.58095238095234,0.8805853748050281,BK,RM,Berkeley,Richmond
1,weekday,BK,RR,61.25,52.38095238095239,-8.869047619047613,0.8551992225461614,BK,RR,Berkeley,Rockridge
1,weekday,BK,SB,39.3,37.23809523809524,-2.0619047619047564,0.9475342299769782,BK,SB,Berkeley,San Bruno
1,weekday,BK,SH,78.1,66.66666666666667,-11.433333333333323,0.8536064874093044,BK,SH,Berkeley,South Hayward
1,weekday,BK,SL,169.55,175.14285714285714,5.592857142857127,1.032986476808358,BK,SL,Berkeley,San Leandro
1,weekday,BK,SO,109.75,105.09523809523809,-4.654761904761912,0.957587590844994,BK,SO,Berkeley,San Francisco International Airport
1,weekday,BK,SS,32.5,34.38095238095238,1.8809523809523796,1.057875457875458,BK,SS,Berkeley,South San Francisco
1,weekday,BK,UC,145.95,137.0952380952381,-8.854761904761887,0.9393301685182468,BK,UC,Berkeley,Union City
1,weekday,BK,WC,147.8,126.33333333333331,-21.466666666666697,0.8547586829048262,BK,WC,Berkeley,Walnut Creek
1,weekday,BK,WD,55.05,48.38095238095239,-6.6690476190476105,0.8788547208165738,BK,WD,Berkeley,West Dublin/Pleasanton
1,weekday,BK,WP,128.0,107.66666666666669,-20.333333333333314,0.8411458333333335,BK,WP,Berkeley,Pittsburg/Bay Point
1,weekday,BK,WS,0.0,86.61904761904762,86.61904761904762,inf,BK,WS,Berkeley,Warm Springs
1,weekday,BP,12,167.65,177.71428571428572,10.064285714285717,1.0600315282689277,BP,12,Balboa Park,12th Street / Oakland City Center
1,weekday,BP,16,642.35,578.1428571428571,-64.20714285714291,0.9000433675455081,BP,16,Balboa Park,16th Street Mission
1,weekday,BP,19,127.3,128.9047619047619,1.6047619047619008,1.0126061422212247,BP,19,Balboa Park,19th Street Oakland
